"Type";"PolicyName";"PolicyId";"PolicyVersion";"PolicyScope";"PolicyScopeId";"ALZPolicyName";"ALZVersion";"ALZState";"InTenant";"DetectedBy";"AzAdvertizerUrl"
"Policy";"Deny-Databricks-NoPublicIp";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-databricks-nopublicip";"1.0.0";"Mg";"alz";"Deny-Databricks-NoPublicIp";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Databricks-NoPublicIp.html"
"Policy";"Deny-Databricks-Sku";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-databricks-sku";"1.0.0";"Mg";"alz";"Deny-Databricks-Sku";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Databricks-Sku.html"
"Policy";"Deny-Databricks-VirtualNetwork";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-databricks-virtualnetwork";"1.0.0";"Mg";"alz";"Deny-Databricks-VirtualNetwork";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Databricks-VirtualNetwork.html"
"Policy";"Deny-EH-minTLS";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-eh-mintls";"1.1.2";"Mg";"alz";"Deny-EH-minTLS";"1.1.2";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-EH-minTLS.html"
"Policy";"Deny-EH-Premium-CMK";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-eh-premium-cmk";"1.0.0";"Mg";"alz";"Deny-EH-Premium-CMK";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-EH-Premium-CMK.html"
"Policy";"Deny-FileServices-InsecureAuth";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-fileservices-insecureauth";"1.0.0";"Mg";"alz";"Deny-FileServices-InsecureAuth";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-FileServices-InsecureAuth.html"
"Policy";"Deny-FileServices-InsecureKerberos";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-fileservices-insecurekerberos";"1.0.0";"Mg";"alz";"Deny-FileServices-InsecureKerberos";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-FileServices-InsecureKerberos.html"
"Policy";"Deny-FileServices-InsecureSmbChannel";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-fileservices-insecuresmbchannel";"1.0.0";"Mg";"alz";"Deny-FileServices-InsecureSmbChannel";"1.1.0";"outDated";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-FileServices-InsecureSmbChannel.html"
"Policy";"Deny-FileServices-InsecureSmbVersions";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-fileservices-insecuresmbversions";"1.0.0";"Mg";"alz";"Deny-FileServices-InsecureSmbVersions";"1.1.0";"outDated";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-FileServices-InsecureSmbVersions.html"
"Policy";"Deny-LogicApp-Public-Network";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-logicapp-public-network";"1.0.0";"Mg";"alz";"Deny-LogicApp-Public-Network";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-LogicApp-Public-Network.html"
