"Subscription";"SubscriptionId";"SubscriptionMGpath";"Provider";"State"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Microsoft.AzureBusinessContinuity";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Microsoft.AzureDataTransfer";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Microsoft.AzureFleet";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Microsoft.AzureImageTestingForLinux";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Microsoft.AzureLargeInstance";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Microsoft.AzurePlaywrightService";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Microsoft.AzureResilienceManagement";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Microsoft.AzureScan";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Microsoft.AzureSphere";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Microsoft.AzureStack";"NotRegistered"
